Year,Network,Results,Avg,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Game 7,,champ,runner
1998,NBC,"Chicago Bulls 4,Utah Jazz 2",18.7/33(29.04MViewers),18.0/32(26.70MViewers),16.6/31(26.30MViewers),16.2/28(15.8MHouseholds),19.1/33(18.7MHouseholds),19.8/37(30.60MViewers),22.3/38(35.89MViewers),No Game,NA,CHI,UTAH
1997,NBC,"Chicago Bulls 4,Utah Jazz 2",16.8/30(25.59MViewers),15.8/27(15.3MHouseholds),15.1/27(14.6MHouseholds),14.2/27(13.7MHouseholds),16.9/30(16.4MHouseholds),20.1/35(19.5MHouseholds),18.5/35(17.9MHouseholds),No Game,NA,CHI,UTAH
1996,NBC,"Chicago Bulls 4,Seattle SuperSonics 2",16.7/31(24.86MViewers),16.8/31(16.1MHouseholds),13.9/27(13.3MHouseholds),15.8/28(15.2MHouseholds),18.1/33(17.4MHouseholds),17.2/33(16.5MHouseholds),18.8/35(18.0MHouseholds),No Game,NA,CHI,OKC
1995,NBC,"Houston Rockets 4,Orlando Magic 0",13.9/25(20.10MViewers),14.7/26(14.0MHouseholds),12.0/23(11.4MHouseholds),14.1/25(13.4MHouseholds),14.9/26(14.2MHouseholds),No Game,No Game,No Game,NA,HOU,ORL
1994,NBC,"Houston Rockets 4,New York Knicks 3",12.3/23(17.25MViewers),12.6/23(11.9MHouseholds),10.7/21(10.1MHouseholds),12.4/24(11.7MHouseholds),12.9/23(12.1MHouseholds),7.8/14(coverage affected by O.J. Simpson's Bronco Chase),11.3/24(10.6MHouseholds),17.9/31(16.9MHouseholds),NA,HOU,NY
1993,NBC,"Chicago Bulls 4,Phoenix Suns 2",17.9/33(27.21MViewers),16.8/29(15.6MHouseholds),14.6/29(13.6MHouseholds),17.0/32(15.8MHouseholds),19.8/35(18.4MHouseholds),19.0/36(17.7MHouseholds),20.3/39(32.10MViewers),No Game,NA,CHI,PHX
1992,NBC,"Chicago Bulls 4,Portland Trail Blazers 2",14.2/27(20.84MViewers),13.5/25(12.4MHouseholds),13.7/26(12.6MHouseholds),13.6/26(12.5MHouseholds),16.0/29(14.7MHouseholds),13.9/28(12.8MHouseholds),14.7/29(13.5MHouseholds),No Game,NA,CHI,POR
1991,NBC,"Chicago Bulls 4,Los Angeles Lakers 1",15.8/34(23.91MViewers),12.6,16.1/29(15.0MHouseholds),15.7/31(14.6MHouseholds),15.2/30(14.2MHouseholds),19.7/36(18.3MHouseholds),No Game,No Game,NA,CHI,LAL
1990,CBS,"Detroit Pistons 4,Portland Trail Blazers 1",12.3/25(17.19MViewers),11.8,12.2,10.8,13.4,13.2,No Game,No Game,NA,DET,POR
1989,CBS,"Detroit Pistons 4,Los Angeles Lakers 0",15.1/30(21.26MViewers),14.0,15.6,13.2,17.4,No Game,No Game,No Game,NA,,
